"region","trångboddhet","födelseregion","ålder","kön","år","Samtliga i populationen"
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","kvinnor","2018",13
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","kvinnor","2019",13
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","kvinnor","2020",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","kvinnor","2021",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2012",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2013",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2014",13
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2015",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2016",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2017",16
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2018",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2019",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2020",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-59 år","män","2021",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2012",41
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2013",45
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2014",41
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2015",43
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2016",52
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2017",39
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2018",42
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2019",37
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2020",41
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","totalt","2021",53
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2012",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2013",20
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2014",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2015",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2016",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2017",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2018",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2019",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2020",24
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","kvinnor","2021",26
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2012",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2013",25
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2014",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2015",24
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2016",29
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2017",24
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2018",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2019",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2020",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","55-64 år","män","2021",27
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2012",16
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2013",24
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2014",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2015",20
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2016",28
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2017",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2018",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2019",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2020",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","totalt","2021",22
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2013",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2014",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2015",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2016",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2017",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2018",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2020",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","kvinnor","2021",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2012",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2013",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2014",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2015",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2016",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2017",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2018",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2020",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","60-64 år","män","2021",13
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2012",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2013",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2014",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2015",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2016",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2017",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2018",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2019",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2020",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","totalt","2021",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2012",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2013",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2014",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2015",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2016",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2020",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2012",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2013",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2014",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2016",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2017",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2018",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2019",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2020",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-69 år","män","2021",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2012",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2013",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2014",31
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2015",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2016",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2017",24
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2018",25
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2019",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2020",23
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","totalt","2021",26
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2012",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2013",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2014",16
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2015",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2016",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2017",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2018",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2019",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2020",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","kvinnor","2021",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2012",13
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2013",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2014",15
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2015",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2016",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2017",18
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2018",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2019",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2020",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","65-74 år","män","2021",19
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2012",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2014",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2015",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2016",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2017",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2018",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2019",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2020",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","totalt","2021",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2014",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2018",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2015",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2017",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2020",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","70-74 år","män","2021",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2012",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2013",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2014",9
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2015",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2016",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","totalt","2021",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2012",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-79 år","män","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2012",17
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2013",14
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2014",16
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2015",12
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2016",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2017",10
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2018",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2019",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2020",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","totalt","2021",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2012",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2013",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2014",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2015",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2016",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2017",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2012",11
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2013",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2014",8
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","75-84 år","män","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2012",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2013",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2014",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2015",6
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","totalt","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","80-84 år","män","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2012",7
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","totalt","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2019",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2020",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","kvinnor","2021",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2012",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2013",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2014",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2015",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2016",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2017",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2018",NA
"Dalarnas län","trångbodda enligt norm 2","Europa exkl.Sverige","85-89 år","män","2019",NA
